Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3538105;Interior;Pindorama;736;23;;;
3538204;Interior;Pinhalzinho;314;2;;;
3538303;Interior;Piquerobi;99;2;;;
3538501;Interior;Piquete;246;5;;;
3538600;Interior;Piracaia;1523;10;;;
3538709;Interior;Piracicaba;32416;554;;;
3538808;Interior;Piraju;824;19;;;
3538907;Interior;Pirajuí;1162;18;;;
3539004;Interior;Pirangi;675;27;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1020;8;;;
3539202;Interior;Pirapozinho;1373;33;;;
3539301;Interior;Pirassununga;4244;64;;;
3539400;Interior;Piratininga;465;13;;;
3539509;Interior;Pitangueiras;2144;56;;;
3539608;Interior;Planalto;275;4;;;
3539707;Interior;Platina;133;3;;;
3539806;RMSP (exceto capital);Poá;4382;181;;;
3539905;Interior;Poloni;244;6;;;
3540002;Interior;Pompéia;429;8;;;
3540101;Interior;Pongaí;158;6;;;
3540200;Interior;Pontal;2750;68;;;
3540259;Interior;Pontalinda;107;9;;;
3540309;Interior;Pontes Gestal;215;5;;;
3540408;Interior;Populina;95;3;;;
3540507;Interior;Porangaba;228;2;;;
3540606;Interior;Porto Feliz;3654;43;;;
3540705;Interior;Porto Ferreira;2687;63;;;
3540754;Interior;Potim;920;17;;;
3540804;Interior;Potirendaba;1359;27;;;
3540853;Interior;Pracinha;146;1;;;
3540903;Interior;Pradópolis;1110;24;;;
3541000;Interior;Praia Grande;10597;369;;;
3541059;Interior;Pratânia;227;2;;;
3541109;Interior;Presidente Alves;144;4;;;
3541208;Interior;Presidente Bernardes;601;16;;;
3541307;Interior;Presidente Epitácio;1161;36;;;
3541406;Interior;Presidente Prudente;12138;279;;;
3541505;Interior;Presidente Venceslau;1304;48;;;
3541604;Interior;Promissão;2971;30;;;
3541653;Interior;Quadra;80;3;;;
3541703;Interior;Quatá;512;5;;;
3541802;Interior;Queiroz;93;3;;;
3541901;Interior;Queluz;647;6;;;
3542008;Interior;Quintana;145;3;;;
3542107;Interior;Rafard;424;4;;;
3542206;Interior;Rancharia;1541;25;;;
3542305;Interior;Redenção da Serra;44;0;;;
3542404;Interior;Regente Feijó;299;14;;;
3542503;Interior;Reginópolis;170;4;;;
3542602;Interior;Registro;3503;84;;;
3542701;Interior;Restinga;208;4;;;
3542800;Interior;Ribeira;144;1;;;
3542909;Interior;Ribeirão Bonito;506;13;;;
3543006;Interior;Ribeirão Branco;659;15;;;
3543105;Interior;Ribeirão Corrente;127;2;;;
3543204;Interior;Ribeirão do Sul;192;1;;;
3543238;Interior;Ribeirão dos Índios;48;3;;;
3543253;Interior;Ribeirão Grande;231;8;;;
3543303;RMSP (exceto capital);Ribeirão Pires;4515;144;;;
3543402;Interior;Ribeirão Preto;41889;1281;;;
3543501;Interior;Riversul;108;2;;;
3543600;Interior;Rifaina;108;4;;;
3543709;Interior;Rincão;188;10;;;
3543808;Interior;Rinópolis;209;3;;;
3543907;Interior;Rio Claro;6624;217;;;
3544004;Interior;Rio das Pedras;1444;46;;;
3544103;RMSP (exceto capital);Rio Grande da Serra;1040;44;;;
3544202;Interior;Riolândia;732;9;;;
3544251;Interior;Rosana;580;11;;;
3544301;Interior;Roseira;636;9;;;
3544400;Interior;Rubiácea;64;1;;;
3544509;Interior;Rubinéia;169;3;;;
3544608;Interior;Sabino;150;12;;;
3544707;Interior;Sagres;53;0;;;
3544806;Interior;Sales;196;13;;;
3544905;Interior;Sales Oliveira;872;9;;;
3545001;RMSP (exceto capital);Salesópolis;343;22;;;
3545100;Interior;Salmourão;46;1;;;
3545159;Interior;Saltinho;333;3;;;
3545209;Interior;Salto;5237;116;;;
3545308;Interior;Salto de Pirapora;1645;63;;;
3545407;Interior;Salto Grande;293;3;;;
3545506;Interior;Sandovalina;152;5;;;
3545605;Interior;Santa Adélia;668;15;;;
3545704;Interior;Santa Albertina;421;7;;;
3545803;Interior;Santa Bárbara d'Oeste;10551;282;;;
3546009;Interior;Santa Branca;421;8;;;
3546108;Interior;Santa Clara d'Oeste;108;7;;;
3546207;Interior;Santa Cruz da Conceição;277;4;;;
3546256;Interior;Santa Cruz da Esperança;73;3;;;
3546306;Interior;Santa Cruz das Palmeiras;1955;36;;;
3546405;Interior;Santa Cruz do Rio Pardo;1735;25;;;
